ticker,year,form_acc,text_lines,table_count,numeric_ratio
TSLA,2025,10-K_0001628280-25-003063,1691,84,0.0614
TSLA,2025,10-Q_0001628280-25-035806,690,51,0.0732
TSLA,2024,10-K_0001628280-24-002390,1712,86,0.0618
NVDA,2025,10-K_0001045810-25-000023,1670,68,0.0805
NVDA,2025,10-Q_0001045810-25-000116,685,50,0.0749
NVDA,2024,10-K_0001045810-24-000029,1623,66,0.0631
MSFT,2025,10-K_0000950170-25-100235,5716,85,0.0573
MSFT,2025,10-Q_0000950170-25-061046,4450,61,0.0716
MSFT,2024,10-K_0000950170-24-087843,5989,92,0.0572
META,2025,10-K_0001326801-25-000017,2074,69,0.0573
META,2025,10-Q_0001628280-25-036791,1329,42,0.0531
META,2024,10-K_0001326801-24-000012,2038,73,0.06
JPM,2025,10-K_0000019617-25-000270,8770,680,0.0734
JPM,2025,10-Q_0000019617-25-000615,4928,279,0.0827
JPM,2024,10-K_0000019617-24-000225,8933,669,0.0731
JNJ,2025,10-K_0000200406-25-000038,2083,233,0.0758
JNJ,2025,10-Q_0000200406-25-000178,1407,132,0.1007
JNJ,2024,10-K_0000200406-24-000013,2066,227,0.078
GOOGL,2025,10-K_0001652044-25-000014,2037,180,0.0655
GOOGL,2025,10-Q_0001652044-25-000062,991,89,0.0891
GOOGL,2024,10-K_0001652044-24-000022,1951,178,0.0641
BRK-A,2025,10-K_0000950170-25-025210,9414,123,0.0664
BRK-A,2025,10-Q_0000950170-25-101578,6023,87,0.1037
BRK-A,2024,10-K_0000950170-24-019719,9194,123,0.0662
AMZN,2025,10-K_0001018724-25-000004,1358,89,0.0674
AMZN,2025,10-Q_0001018724-25-000086,799,51,0.0636
AMZN,2024,10-K_0001018724-24-000008,1367,91,0.0667
AAPL,2025,10-Q_0000320193-25-000073,404,30,0.0848
AAPL,2024,10-K_0000320193-24-000123,1097,55,0.0885
AAPL,2023,10-K_0000320193-23-000106,1049,58,0.0882
